0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:29 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:50 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:50 +0530] "GET /webProject/style.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:50 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:51 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:51 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:51 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:57 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:57 +0530] "GET /webProject/style.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:57 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:58 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:58 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:05:58 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:11 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:11 +0530] "GET /webProject/style.css HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:11 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:12 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:12 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:12 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:12 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:12 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:12 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:46 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:46 +0530] "GET /webProject/style.css HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:46 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:55 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:55 +0530] "GET /webProject/style.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:06:55 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:07:18 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:07:18 +0530] "GET /webProject/style.css HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:07:18 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:11:13 +0530] "GET /webProject/index.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:11:13 +0530] "GET /webProject/style.css HTTP/1.1" 200 209
